iter	Passed	Remaining
878	1046	144
879	1047	142
880	1048	141
881	1049	140
882	1050	139
883	1051	137
884	1052	136
885	1053	135
886	1054	134
887	1055	133
888	1056	131
889	1057	130
890	1057	129
891	1058	128
892	1059	126
893	1060	125
894	1061	124
895	1062	123
896	1063	122
897	1064	120
898	1065	119
899	1066	118
900	1066	117
901	1067	116
902	1068	114
903	1069	113
904	1070	112
905	1071	111
906	1071	109
907	1073	108
908	1073	107
909	1074	106
910	1075	105
911	1076	103
912	1077	102
913	1078	101
914	1079	100
915	1080	99
916	1081	97
917	1082	96
918	1082	95
919	1083	94
920	1084	93
921	1085	91
922	1086	90
923	1087	89
924	1088	88
925	1089	87
926	1090	85
927	1091	84
928	1092	83
929	1093	82
930	1094	81
931	1094	79
932	1095	78
933	1096	77
934	1097	76
935	1098	75
936	1099	73
937	1100	72
938	1101	71
939	1102	70
940	1102	69
941	1103	67
942	1104	66
943	1106	65
944	1107	64
945	1108	63
946	1109	62
947	1110	60
948	1110	59
949	1111	58
950	1112	57
951	1113	56
952	1114	54
953	1115	53
954	1116	52
955	1117	51
956	1117	50
957	1118	49
958	1119	47
959	1120	46
960	1121	45
961	1122	44
962	1123	43
963	1124	42
964	1125	40
965	1126	39
966	1127	38
967	1128	37
968	1129	36
969	1130	34
970	1131	33
971	1132	32
972	1133	31
973	1134	30
974	1135	29
975	1136	27
976	1137	26
977	1137	25
978	1138	24
979	1139	23
980	1140	22
981	1141	20
982	1142	19
983	1142	18
984	1143	17
985	1144	16
986	1145	15
987	1146	13
988	1147	12
989	1148	11
990	1149	10
991	1150	9
992	1151	8
993	1152	6
994	1153	5
995	1153	4
996	1154	3
997	1155	2
998	1156	1
999	1157	0
